  Ex = [mV]  ,  Ey = [mV]  ,Hx = [mV]  ,Hy = [mV]  ,Hz = [mV]  
  2.912523  ,  6.958008E-02  ,  0.1525879  ,  1.35498  ,  69.00111  
  -0.19108  ,  0.213623  ,  0.958252  ,  1.293945  ,  68.03606  
  -0.2007305  ,  0.2593994  ,  2.651978  ,  1.547241  ,  67.93956  
  -0.152478  ,  0.2581787  ,  3.094482  ,  1.599121  ,  67.84305  
  -3.860202E-03  ,  0.2774048  ,  3.292847  ,  1.473999  ,  67.74654  
  0.2074859  ,  0.2566528  ,  2.716064  ,  1.300049  ,  67.55354  
  0.4805952  ,  0.2935791  ,  2.584839  ,  1.61438  ,  67.84305  
  0.4777  ,  0.317688  ,  2.825928  ,  1.593018  ,  68.13257  
  0.4661194  ,  0.3060913  ,  2.69165  ,  1.461792  ,  65.52693  
  0.5288477  ,  0.3146362  ,  2.55127  ,  1.287842  ,  67.36053  
  0.476735  ,  0.3045654  ,  2.438354  ,  1.12915  ,  64.56188  
  0.3580337  ,  0.2908325  ,  2.084351  ,  0.8300781  ,  64.56188  
  0.1959053  ,  0.2731323  ,  1.455688  ,  0.6774902  ,  63.40382  
  -3.184667E-02  ,  0.2813721  ,  1.824951  ,  1.00708  ,  62.72828  
  -6.272829E-02  ,  0.2566528  ,  1.730347  ,  1.025391  ,  61.37721  
  0.1968703  ,  0.2307129  ,  1.242065  ,  1.239014  ,  62.63178  
  0.2229267  ,  0.2694702  ,  1.306152  ,  1.251221  ,  62.43877  
  2.798647E-02  ,  0.284729  ,  2.120972  ,  0.9185791  ,  62.34226  
  3.281172E-02  ,  0.2630615  ,  2.001953  ,  0.7141113  ,  60.60517  
  9.843516E-02  ,  0.2316284  ,  1.2146  ,  0.5218506  ,  60.12265  
  0.3117113  ,  0.2713013  ,  1.306152  ,  0.9033203  ,  58.09604  
  -0.5076166  ,  0.1644897  ,  1.495361  ,  1.391602  ,  51.14768  
  -3.872748  ,  -0.3347778  ,  1.119995  ,  1.489258  ,  55.49041  
  -3.899769  ,  -0.3417969  ,  1.019287  ,  1.367188  ,  52.59525  
  -2.307436  ,  -7.202148E-02  ,  1.727295  ,  1.568604  ,  56.06944  
  -1.231405  ,  8.087158E-02  ,  2.334595  ,  1.794434  ,  55.00788  
  -0.3561037  ,  0.206604  ,  2.163696  ,  1.412964  ,  56.35895  
  -0.3985659  ,  0.1931763  ,  2.047729  ,  1.296997  ,  52.88477  
  5.597293E-02  ,  0.218811  ,  1.498413  ,  1.257324  ,  53.75331  
  0.3203968  ,  0.2755737  ,  2.005005  ,  1.498413  ,  53.27079  
  0.2576685  ,  0.3109741  ,  2.981567  ,  1.568604  ,  53.94632  
  0.1997655  ,  0.2703857  ,  2.600098  ,  1.257324  ,  52.98127  
  0.4091814  ,  0.2114868  ,  1.168823  ,  1.135254  ,  53.27079  
  0.5143719  ,  0.2456665  ,  1.062012  ,  1.565552  ,  52.11273  
  0.3213618  ,  0.2554321  ,  1.602173  ,  1.974487  ,  52.11273  
  0.2345073  ,  0.2474976  ,  1.330566  ,  1.626587  ,  50.56865  
  1.04515  ,  0.3613281  ,  1.501465  ,  1.391602  ,  50.18263  
  2.57765  ,  0.5432129  ,  1.516724  ,  1.519775  ,  49.6036  
  3.126764  ,  0.6698608  ,  2.087402  ,  1.956177  ,  50.18263  
  2.619147  ,  0.6326294  ,  2.542114  ,  1.950073  ,  49.12107  
  2.054593  ,  0.5249023  ,  2.529907  ,  1.748657  ,  49.21758  
  1.695594  ,  0.453186  ,  2.032471  ,  1.464844  ,  49.98962  
  1.726475  ,  0.4397583  ,  2.053833  ,  1.687622  ,  49.12107  
  1.468807  ,  0.4443359  ,  2.593994  ,  1.934814  ,  51.34069  
  1.422485  ,  0.4318237  ,  2.490234  ,  1.809692  ,  47.8665  
  1.369407  ,  0.4293823  ,  3.05481  ,  1.489258  ,  47.77  
  1.494863  ,  0.4193115  ,  2.856445  ,  1.504517  ,  46.22592  
  1.418624  ,  0.4208374  ,  2.67334  ,  1.663208  ,  47.09446  
  1.353966  ,  0.4092407  ,  2.542114  ,  1.501465  ,  44.10281  
  1.409939  ,  0.4153442  ,  2.62146  ,  1.394653  ,  44.0063  
  1.548906  ,  0.4141235  ,  2.874756  ,  1.629639  ,  43.13776  
  1.637691  ,  0.4467773  ,  3.271484  ,  1.977539  ,  44.29582  
  1.347211  ,  0.411377  ,  3.561401  ,  2.035522  ,  43.13776  
  -0.3908455  ,  0.1251221  ,  3.094482  ,  1.956177  ,  42.55873  
  -1.220789  ,  -1.342773E-02  ,  2.536011  ,  1.965332  ,  40.82164  
  -0.7035218  ,  0.1086426  ,  2.206421  ,  1.846313  ,  40.24261  
  -0.1920451  ,  0.2090454  ,  2.481079  ,  1.763916  ,  38.69852  
  0.5819255  ,  0.2941895  ,  3.094482  ,  2.264404  ,  38.79503  
  0.7903764  ,  0.3186035  ,  3.591919  ,  2.529907  ,  38.98804  
  0.839594  ,  0.3005981  ,  3.091431  ,  2.39563  ,  38.3125  
  0.9100427  ,  0.368042  ,  2.764893  ,  2.157593  ,  40.53212  
  0.8753009  ,  0.3579712  ,  2.655029  ,  2.044678  ,  36.96143  
  1.701384  ,  0.4949951  ,  3.579712  ,  2.172852  ,  37.15445  
  2.428067  ,  0.5545044  ,  3.494263  ,  2.374268  ,  36.3824  
  0.5780653  ,  0.2432251  ,  2.932739  ,  2.420044  ,  37.63697  
  0.5549041  ,  0.2182007  ,  2.676392  ,  2.325439  ,  34.83832  
  1.129109  ,  0.3036499  ,  2.603149  ,  2.416992  ,  34.06628  
  1.297028  ,  0.3570557  ,  3.057861  ,  2.328491  ,  33.19774  
  1.04322  ,  0.3048706  ,  1.800537  ,  1.51062  ,  33.58376  
  1.153235  ,  0.3244019  ,  1.477051  ,  1.287842  ,  32.13618  
  1.595229  ,  0.4272461  ,  2.737427  ,  1.843262  ,  30.88162  
  1.579788  ,  0.4663086  ,  4.141235  ,  2.484131  ,  30.30259  
  1.398358  ,  0.3631592  ,  3.530884  ,  2.236938  ,  32.03968  
  1.444681  ,  0.3585815  ,  3.030396  ,  2.044678  ,  30.97812  
  1.52864  ,  0.3997803  ,  3.320313  ,  2.130127  ,  31.36414  
  2.485005  ,  0.52948  ,  3.363037  ,  2.166748  ,  30.97812  
  4.432477  ,  0.6924438  ,  2.322388  ,  2.536011  ,  31.07463  
  3.187562  ,  0.6237793  ,  2.584839  ,  2.429199  ,  32.5222  
  3.086232  ,  0.6054688  ,  2.502441  ,  2.285767  ,  29.24103  
  2.375954  ,  0.4681396  ,  2.313232  ,  1.538086  ,  30.10958  
  2.428067  ,  0.4629517  ,  2.563477  ,  1.797485  ,  28.95152  
  2.145307  ,  0.4046631  ,  1.953125  ,  1.678467  ,  31.65366  
  2.091264  ,  0.3970337  ,  1.77002  ,  1.522827  ,  28.95152  
  2.047837  ,  0.411377  ,  1.791382  ,  1.504517  ,  28.85501  
  2.074859  ,  0.380249  ,  1.611328  ,  1.651001  ,  28.37248  
  1.956157  ,  0.375061  ,  1.364136  ,  1.568604  ,  28.7585  
  1.798854  ,  0.3512573  ,  1.11084  ,  1.23291  ,  27.11792  
  1.720685  ,  0.3482056  ,  0.6896973  ,  0.8331299  ,  27.50394  
  1.924311  ,  0.3656006  ,  0.7873535  ,  0.9918213  ,  27.11792  
  2.224442  ,  0.4302979  ,  1.290894  ,  1.385498  ,  27.79346  
  2.204175  ,  0.4388428  ,  1.586914  ,  1.434326  ,  26.34588  
  2.082579  ,  0.4217529  ,  1.571655  ,  1.412964  ,  26.15287  
  1.871233  ,  0.3759766  ,  1.016235  ,  1.150513  ,  25.38083  
  1.790169  ,  0.3692627  ,  0.5126953  ,  1.022339  ,  24.99481  
  1.255531  ,  0.4302979  ,  0.6774902  ,  0.3265381  ,  25.76685  
  1.223684  ,  0.4205322  ,  0.5767822  ,  0.1831055  ,  22.8717  
  1.857722  ,  0.4125977  ,  1.049805  ,  0.9643555  ,  24.12626  
  1.988004  ,  0.3781128  ,  0.9307861  ,  1.608276  ,  24.41578  
  1.846142  ,  0.3900146  ,  1.202393  ,  1.931763  ,  27.31093  
  1.80561  ,  0.3768921  ,  1.098633  ,  1.815796  ,  23.83675  
  1.826841  ,  0.3762817  ,  0.8209229  ,  1.885986  ,  20.74859  
  1.8114  ,  0.3866577  ,  1.095581  ,  1.989746  ,  15.92333  
  1.768938  ,  0.3640747  ,  0.8392334  ,  1.528931  ,  15.53731  
  1.758322  ,  0.3713989  ,  0.5523682  ,  1.248169  ,  15.63382  
  1.755427  ,  0.4376221  ,  1.394653  ,  1.254272  ,  17.85343  
  1.758322  ,  0.4159546  ,  1.721191  ,  1.477051  ,  18.14295  
  1.560487  ,  0.3460693  ,  0.479126  ,  0.8728027  ,  19.49402  
  1.580753  ,  0.322876  ,  -0.2593994  ,  0.6500244  ,  18.04644  
  1.442751  ,  0.3240967  ,  -0.7659912  ,  0.3936768  ,  17.46741  
  1.443716  ,  0.3533936  ,  -0.4943848  ,  0.479126  ,  16.40586  
  1.668572  ,  0.3973389  ,  0.6561279  ,  1.260376  ,  16.59887  
  1.574962  ,  0.3405762  ,  0.2746582  ,  1.403809  ,  15.15129  
  1.396428  ,  0.3048706  ,  -0.3601074  ,  1.535034  ,  15.44081  
  1.338525  ,  0.3250122  ,  0.302124  ,  1.727295  ,  17.08139  
  1.328875  ,  0.2865601  ,  3.967285E-02  ,  1.422119  ,  16.69537  
  1.496793  ,  0.2874756  ,  -0.8239746  ,  1.098633  ,  19.59052  
  1.454331  ,  0.2758789  ,  -0.9338379  ,  0.9796143  ,  16.30935  
  1.367477  ,  0.3546143  ,  -6.713867E-02  ,  0.8209229  ,  17.56392  
  1.448541  ,  0.3314209  ,  9.765625E-02  ,  1.068115  ,  17.85343  
  1.353001  ,  0.3555298  ,  -0.8514404  ,  0.7843018  ,  26.44238  
  1.358791  ,  0.3500366  ,  -0.982666  ,  0.6866455  ,  24.02976  
  1.62804  ,  0.3582764  ,  -0.9246826  ,  0.958252  ,  27.69695  
  1.562417  ,  0.328064  ,  -1.23291  ,  0.8300781  ,  28.85501  
  1.52092  ,  0.3115845  ,  -1.547241  ,  0.6408691  ,  30.39909  
  1.552766  ,  0.3131104  ,  -1.660156  ,  0.7202148  ,  29.04802  
  1.591368  ,  0.3192139  ,  -1.559448  ,  1.098633  ,  29.33754  
  1.387743  ,  0.2655029  ,  -2.532959  ,  0.8148193  ,  28.7585  
  1.599089  ,  0.3134155  ,  -2.426147  ,  1.013184  ,  29.14453  
  1.637691  ,  0.2966309  ,  -2.178955  ,  1.208496  ,  27.40743  
  1.415729  ,  0.2545166  ,  -2.774048  ,  0.8483887  ,  24.41578  
  1.197628  ,  0.2694702  ,  -2.920532  ,  0.27771  ,  24.8983  
  1.233335  ,  0.3036499  ,  -2.362061  ,  0.2288818  ,  25.76685  
  1.197628  ,  0.2908325  ,  -1.925659  ,  0.5432129  ,  27.88996  
  1.157096  ,  0.27771  ,  -2.053833  ,  0.4302979  ,  24.51228  
  1.218859  ,  0.2374268  ,  -2.584839  ,  0.6103516  ,  25.28432  
  1.303783  ,  0.2261353  ,  -2.755737  ,  0.7751465  ,  23.45073  
  1.255531  ,  0.2072144  ,  -3.253174  ,  0.881958  ,  23.45073  
  1.191837  ,  0.1937866  ,  -3.521729  ,  0.6988525  ,  20.65208  
  1.116564  ,  0.2496338  ,  -3.55835  ,  0.3173828  ,  20.55558  
  1.292203  ,  0.3033447  ,  -2.416992  ,  0.6408691  ,  18.81849  
  1.293168  ,  0.2255249  ,  -2.69165  ,  0.6835938  ,  18.91499  
  1.250705  ,  0.1879883  ,  -3.775024  ,  0.3631592  ,  17.66043  
  1.133934  ,  0.2481079  ,  -4.40979  ,  -0.1251221  ,  18.72198  
  1.191837  ,  0.2648926  ,  -3.747559  ,  3.051758E-02  ,  18.62547  
  1.277727  ,  0.163269  ,  -5.526733  ,  -0.1281738  ,  19.20451  
  1.294133  ,  0.1782227  ,  -5.758667  ,  -0.1403809  ,  17.66043  
  1.104018  ,  0.2218628  ,  -5.001831  ,  0.0213623  ,  17.2744  
  0.8357338  ,  0.2148438  ,  -4.794312  ,  -0.2838135  ,  16.50236  
  0.9409243  ,  0.1879883  ,  -5.465698  ,  -0.4241943  ,  16.11634  
  1.172536  ,  0.1663208  ,  -5.145264  ,  0.302124  ,  17.2744  
  1.135864  ,  0.151062  ,  -5.288696  ,  0.2075195  ,  13.89673  
  1.097263  ,  0.1452637  ,  -5.892944  ,  0.3356934  ,  14.57226  
  1.188942  ,  0.1699829  ,  -5.493164  ,  0.6622314  ,  13.89673  
  0.9081126  ,  0.1358032  ,  -6.143188  ,  0.213623  ,  16.59887  
  0.8463494  ,  0.1275635  ,  -6.286621  ,  1.220703E-02  ,  13.51071  
  0.7797608  ,  0.1168823  ,  -6.619263  ,  -0.3082275  ,  13.60721  
  0.8724057  ,  0.1138306  ,  -6.976318  ,  -0.3143311  ,  13.60721  
  0.8926718  ,  0.1611328  ,  -6.079102  ,  0.1983643  ,  15.82683  
  0.7208928  ,  0.1486206  ,  -5.749512  ,  0.2502441  ,  15.3443  
  0.629213  ,  0.1254272  ,  -5.776978  ,  0.2410889  ,  15.82683  
  0.7237879  ,  0.1522827  ,  -5.703735  ,  0.2319336  ,  15.53731  
  0.9032874  ,  0.1583862  ,  -5.584717  ,  0.3692627  ,  16.30935  
  0.9042524  ,  0.1300049  ,  -5.975342  ,  0.3479004  ,  14.37925  
  0.7913415  ,  0.1205444  ,  -6.359863  ,  0.3875732  ,  12.44915  
  0.6600946  ,  0.1452637  ,  -5.957031  ,  0.4638672  ,  11.29109  
  0.743089  ,  0.1242065  ,  -5.432129  ,  0.7720947  ,  10.71206  
  0.7932715  ,  6.408691E-02  ,  -6.002808  ,  0.9368896  ,  12.15964  
  0.7488793  ,  4.974365E-02  ,  -6.14624  ,  0.8209229  ,  9.071475  
  0.6070168  ,  6.286621E-02  ,  -6.176758  ,  0.7232666  ,  8.878465  
  0.5066515  ,  0.1037598  ,  -5.453491  ,  0.5615234  ,  7.430889  
  0.7093121  ,  6.439209E-02  ,  -5.407715  ,  0.4882813  ,  8.588949  
  0.7006267  ,  5.584717E-02  ,  -5.480957  ,  0.4516602  ,  5.886808  
  0.6137722  ,  7.324219E-02  ,  -4.794312  ,  0.6011963  ,  5.114768  
  0.5037564  ,  3.845215E-02  ,  -4.681396  ,  0.5096436  ,  5.211273  
  0.3715445  ,  0.0479126  ,  -4.870605  ,  0.2227783  ,  6.176323  
  0.2885501  ,  6.591797E-02  ,  -4.678345  ,  -3.051758E-03  ,  4.921758  
  0.6456189  ,  0.0491333  ,  -4.452515  ,  0.4577637  ,  4.825253  
  0.5423584  ,  4.089355E-02  ,  -4.879761  ,  0.5340576  ,  4.053212  
  0.5857857  ,  8.178711E-02  ,  -4.598999  ,  0.3204346  ,  3.474182  
  0.7498443  ,  9.216309E-02  ,  -4.327393  ,  0.402832  ,  -1.640586  
  0.9467146  ,  5.767822E-02  ,  -4.428101  ,  0.6958008  ,  -8.202929  
  0.935134  ,  3.417969E-02  ,  -4.486084  ,  1.019287  ,  -13.99323  
  0.7565997  ,  3.326416E-02  ,  -4.220581  ,  1.116943  ,  -18.33596  
  0.6378984  ,  3.112793E-02  ,  -4.022217  ,  0.9185791  ,  -21.81014  
  0.4024261  ,  3.662109E-02  ,  -4.153442  ,  0.2227783  ,  -26.34588  
  0.6996617  ,  5.615234E-02  ,  -4.248047  ,  0.1739502  ,  -30.30259  
  0.7971318  ,  5.432129E-02  ,  -4.153442  ,  0.4821777  ,  -32.5222  
  0.5780653  ,  0.1016235  ,  -3.375244  ,  0.6835938  ,  -31.55715  
  0.5375332  ,  8.789063E-02  ,  -3.491211  ,  0.567627  ,  -34.93483  
  0.6736053  ,  4.730225E-02  ,  -4.30603  ,  0.5737305  ,  -33.77677  
  0.8907416  ,  4.089355E-02  ,  -4.620361  ,  0.8270264  ,  -34.16279  
  0.9669807  ,  0.0668335  ,  -4.425049  ,  0.8728027  ,  -21.32762  
  0.9264485  ,  5.249023E-02  ,  -4.577637  ,  0.7293701  ,  -23.06471  
  0.7237879  ,  0.050354  ,  -4.870605  ,  0.2410889  ,  -17.66043  
  0.7971318  ,  5.889893E-02  ,  -4.754639  ,  0.1586914  ,  -17.08139  
  1.215964  ,  0.1470947  ,  -3.121948  ,  1.080322  ,  -16.40586  
  1.211138  ,  0.151062  ,  -2.261353  ,  1.361084  ,  -17.2744  
  1.093402  ,  6.530762E-02  ,  -3.359985  ,  0.6652832  ,  -17.2744  
  1.120424  ,  6.408691E-02  ,  -4.284668  ,  0.1251221  ,  -18.52897  
  1.164816  ,  8.087158E-02  ,  -4.187012  ,  0.3448486  ,  -17.1779  
  1.263251  ,  8.270264E-02  ,  -3.912354  ,  0.7171631  ,  -17.75693  
  1.208243  ,  2.990723E-02  ,  -4.229736  ,  1.049805  ,  -17.46741  
  0.763355  ,  3.509521E-02  ,  -5.26123  ,  3.967285E-02  ,  -17.2744  
  0.8724057  ,  9.033203E-02  ,  -4.89502  ,  -0.0213623  ,  -18.33596  
