  Ex = [mV]  ,  Ey = [mV]  ,Hx = [mV]  ,Hy = [mV]  ,Hz = [mV]  
  9.735107  ,  0.2238917  ,  -3.811646  ,  -1.101685  ,  -0.5126953  
  2.337646  ,  0.4111115  ,  -2.01416  ,  0.3356934  ,  -1.73645  
  1.095581  ,  4.632243E-02  ,  -1.544189  ,  0.567627  ,  -1.913452  
  -0.1098633  ,  -5.404283E-02  ,  -2.618408  ,  -7.324219E-02  ,  -1.397705  
  1.132202  ,  0.438133  ,  -1.443481  ,  0.4882813  ,  -1.776123  
  0.894165  ,  0.3686493  ,  -0.3112793  ,  0.8789063  ,  -1.78833  
  1.275635  ,  0.1022954  ,  -0.213623  ,  1.300049  ,  -1.437378  
  -0.8239746  ,  -0.1080857  ,  -1.33667  ,  0.5615234  ,  -0.4547119  
  4.882813E-02  ,  0.2393325  ,  -1.083374  ,  0.5218506  ,  -3.051758E-02  
  1.022339  ,  0.3068861  ,  -0.4760742  ,  1.080322  ,  -0.491333  
  0.8300781  ,  0.1486178  ,  -0.3479004  ,  1.275635  ,  -0.8117676  
  -0.3173828  ,  -0.3956707  ,  -2.053833  ,  0.7873535  ,  9.765625E-02  
  -0.9765625  ,  -0.3261871  ,  -3.80249  ,  3.967285E-02  ,  1.196289  
  -0.9490967  ,  0.133177  ,  -3.530884  ,  -0.1525879  ,  0.7507324  
  -0.1037598  ,  0.266354  ,  -2.603149  ,  8.544922E-02  ,  -0.1800537  
  0.9216309  ,  0.3474182  ,  -1.477051  ,  0.7904053  ,  -0.7446289  
  0.2319336  ,  0.2731093  ,  -0.894165  ,  0.8575439  ,  -0.9277344  
  -0.4180908  ,  0.1997655  ,  -0.8483887  ,  0.6347656  ,  -0.9429932  
  -0.2838135  ,  0.4863855  ,  -3.051758E-03  ,  0.7385254  ,  -1.089478  
  0.3601074  ,  0.5510439  ,  1.104736  ,  1.190186  ,  -1.397705  
  -0.0213623  ,  0.2499481  ,  0.9857178  ,  1.107788  ,  -1.11084  
  -0.769043  ,  2.123111E-02  ,  -0.1220703  ,  0.5889893  ,  -0.5859375  
  -0.3204346  ,  0.2567034  ,  -0.2929688  ,  0.6286621  ,  -0.5126953  
  -8.239746E-02  ,  0.4902457  ,  0.604248  ,  0.9521484  ,  -0.9063721  
  -0.2624512  ,  0.4690146  ,  1.483154  ,  1.025391  ,  -1.269531  
  0.189209  ,  0.2451228  ,  1.11084  ,  1.12915  ,  -1.263428  
  3.662109E-02  ,  9.264486E-02  ,  0.2563477  ,  0.9979248  ,  -1.245117  
  -0.4486084  ,  -5.211273E-02  ,  -0.5950928  ,  0.7385254  ,  -0.9643555  
  -1.101685  ,  1.833596E-02  ,  -0.9460449  ,  0.2929688  ,  -0.8972168  
  -3.051758E-03  ,  1.833596E-02  ,  -1.104736  ,  0.4455566  ,  -1.342773  
  -0.1831055  ,  -3.860202E-03  ,  -1.593018  ,  0.378418  ,  -1.5625  
  -0.3295898  ,  0.2605636  ,  -1.165771  ,  0.3143311  ,  -2.020264  
  -0.378418  ,  0.0897497  ,  -0.9674072  ,  0.2685547  ,  -2.023315  
