  Ex = [mV]  , Ey = [mV]  , Hx = [mV]  ,Hy = [mV]  ,Hz = [mV]  
  22.9682  ,  -16.05225  ,  -8.21258  ,  -1.702881  ,  13.3667  
  -16.05844  ,  -8.850098  ,  -9.139028  ,  -2.55127  ,  23.22388  
  -13.53001  ,  7.263184  ,  -3.175016  ,  -1.733398  ,  23.28491  
  1.177362  ,  19.25659  ,  4.149717  ,  0.3265381  ,  14.5874  
  16.92698  ,  26.76392  ,  11.36829  ,  2.856445  ,  1.617432  
  20.86439  ,  23.40698  ,  14.26345  ,  3.829956  ,  -10.25391  
  15.62417  ,  5.218506  ,  7.807259  ,  2.218628  ,  -14.28223  
  4.294475  ,  -9.490967  ,  -2.48983  ,  -0.3479004  ,  -6.469727  
  -10.69276  ,  -16.54053  ,  -10.18128  ,  -2.716064  ,  7.354736  
  -21.24076  ,  -12.8479  ,  -11.94732  ,  -3.869629  ,  19.80591  
  -23.80779  ,  0.7324219  ,  -7.903763  ,  -3.726196  ,  24.78027  
  -15.49871  ,  12.72583  ,  -0.8685454  ,  -2.575684  ,  18.98193  
  3.686493  ,  22.67456  ,  6.012264  ,  -0.1953125  ,  7.995605  
  17.49636  ,  26.27563  ,  11.63851  ,  2.06604  ,  -4.364014  
  18.90534  ,  17.05933  ,12343,  2.728271  ,  -12.75635  
  13.80987  ,  -0.1525879  ,  4.670845  ,  1.547241  ,  -10.28442  
  0.5790303  ,  -12.54272  ,  -3.860202  ,  -0.604248  ,  0.7629395  
  -11.32004  ,  -15.31982  ,  -9.399591  ,  -2.39563  ,  14.34326  
  -16.17425  ,  -6.713867  ,  -9.225883  ,  -2.871704  ,  23.34595  
  -14.95828  ,  8.575439  ,  -2.817947  ,  -2.108765  ,  22.09473  
  -2.586335  ,  18.52417  ,  3.213618  ,  -0.7385254  ,  12.93945  
  12.67111  ,  24.4751  ,  8.80126  ,  1.132202  ,  0.8850098  
  19.46507  ,  21.8811  ,  11.64816  ,  2.374268  ,  -9.246826  
  18.1912  ,  6.103516  ,  7.411588  ,  2.090454  ,  -11.8103  
  7.305432  ,  -7.263184  ,  -0.2219616  ,  0.6774902  ,  -4.119873  
  -9.399591  ,  -15.38086  ,  -7.469491  ,  -1.586914  ,  8.636475  
  -20.97055  ,  -12.69531  ,  -10.30674  ,  -3.265381  ,  20.11108  
  -22.27337  ,  1.403809  ,  -6.851859  ,  -3.366089  ,  24.35303  
  -11.91837  ,  14.25171  ,  0.5307778  ,  -1.983643  ,  18.34106  
  7.276481  ,  24.6582  ,  8.328385  ,  0.6500244  ,  6.652832  
  19.38787  ,  27.61841  ,  14.12834  ,  2.856445  ,  -6.347656  
  19.99585  ,  17.45605  ,  14.35995  ,  3.399658  ,  -14.89258  
  15.55661  ,  0.5493164  ,  7.044868  ,  2.462769  ,  -12.20703  
  2.933753  ,  -12.57324  ,  -1.061556  ,  0.6713867  ,  -0.793457  
  -9.17763  ,  -15.99121  ,  -6.822907  ,  -1.043701  ,  13.67188  
  -13.80987  ,  -6.68335  ,  -6.938713  ,  -1.63269  ,  22.97974  
  -10.79891  ,  9.857178  ,  0.2026606  ,  -0.6134033  ,  21.60645  
  3.339075  ,  20.6604  ,  7.556345  ,  1.364136  ,  11.93237  
  17.1779  ,  25.54321  ,  13.28874  ,  3.359985  ,  -0.9460449  
  20.21781  ,  21.30127  ,  14.72667  ,  3.796387  ,  -11.65771  
  15.80753  ,  4.577637  ,  8.40559  ,  2.285767  ,  -14.22119  
  3.734745  ,  -8.94165  ,  -0.4439232  ,  3.051758E-02  ,  -5.889893  
  -12.06313  ,  -16.51001  ,  -8.106424  ,  -2.310181  ,  7.8125  
  -22.18651  ,  -13.06152  ,  -10.76031  ,  -3.52478  ,  20.01953  
  -21.86804  ,  1.922607  ,  -6.436887  ,  -2.96936  ,  24.26147  
  -9.988273  ,  13.94653  ,  1.215964  ,  -1.116943  ,  17.85278  
  8.183628  ,  21.85059  ,  7.479141  ,  1.223755  ,  6.286621  
  13.34665  ,  23.10181  ,  9.013572  ,  1.870728  ,  1.617432  
  18.68338  ,  20.01953  ,  10.53835  ,  2.502441  ,  -10.00977  
  17.92099  ,  8.544922  ,  6.958014  ,  1.852417  ,  -12.87842  
  8.444192  ,  -10.16235  ,  -2.692491  ,  1.403809  ,  2.105713  
  -6.996616  ,  -13.58032  ,  -6.755353  ,  -0.1525879  ,  14.9231  
  -19.36856  ,  -6.469727  ,  -7.884462  ,  -2.331543  ,  23.07129  
  -19.36856  ,  8.209229  ,  -2.85655  ,  -2.835083  ,  21.42334  
  -1.997654  ,  20.11108  ,  4.091814  ,  -0.7263184  ,  12.20703  
  15.50836  ,  26.70288  ,  11.27179  ,  2.157593  ,  -0.3051758  
  21.70399  ,  23.13232  ,  14.73632  ,  3.717041  ,  -10.98633  
  18.25875  ,  5.737305  ,  9.679457  ,  3.07312  ,  -13.33618  
  3.63824  ,  -9.338379  ,  0.7816909  ,  0.7629395  ,  -5.0354  
  -14.19589  ,  -17.63916  ,  -7.865161  ,  -2.249146  ,  8.880615  
  -23.50863  ,  -12.78687  ,-10548,  -3.811646  ,  20.90454  
  -21.59783  ,  4.150391  ,  -5.008612  ,  -3.030396  ,  24.32251  
  -7.980968  ,  16.93726  ,  3.551386  ,  -0.7751465  ,  16.90674  
  11.25249  ,  25.14648  ,  10.86647  ,  2.047729  ,  4.699707  
  21.26006  ,  25.42114  ,  14.78457  ,  3.619385  ,  -7.385254  
  21.19251  ,  13.33618  ,  12.96063  ,  3.518677  ,  -14.0686  
  13.19224  ,  -2.838135  ,  4.58399  ,  1.998901  ,  -9.490967  
  -4.555038  ,  -15.1062  ,  -4.59364  ,  -0.9613037  ,  2.807617  
  -18.04644  ,  -16.87622  ,  -10.64451  ,  -3.475952  ,  16.75415  
  -19.63878  ,  -6.04248  ,  -9.94002  ,  -3.662109  ,  24.90234  
  -15.55661  ,  8.850098  ,  -3.117113  ,  -2.310181  ,  22.18628  
  -3.319774  ,  18.67676  ,  2.412626  ,  -0.9613037  ,  12.11548  
  10.31639  ,  24.4751  ,  7.508093  ,  0.4699707  ,  -0.4272461  
  16.39621  ,  21.51489  ,  10.74101  ,  1.577759  ,  -10.40649  
  14.2924  ,  4.974365  ,  6.243876  ,  1.083374  ,  -11.56616  
  2.10381  ,  -9.70459  ,  -2.10381  ,  -0.7507324  ,  -2.593994  
  -11.80257  ,  -17.57813  ,  -10.19093  ,  -2.813721  ,  11.26099  
  -18.40351  ,  -12.39014  ,  -12.56496  ,  -3.430176  ,  22.67456  
  -16.43481  ,  4.730225  ,  -6.813256  ,  -2.182007  ,  25.11597  
  -4.989311  ,  17.60864  ,  1.881848  ,  -0.1220703  ,  16.99829  
  10.76996  ,  25.39063  ,  9.254834  ,  2.06604  ,  4.211426  
  17.50602  ,  24.71924  ,  12.62286  ,  2.731323  ,  -8.178711  
  14.86178  ,  10.98633  ,  9.380291  ,  1.455688  ,  -14.46533  
  8.21258  ,  -4.943848  ,  -9.650505E-03  ,  -0.5859375  ,  -8.972168  
  -3.937406  ,  -15.80811  ,  -8.569648  ,  -2.590942  ,  3.997803  
  -13.73267  ,  -15.38086  ,  -12.59391  ,  -3.741455  ,  18.06641  
  -12.39125  ,  -1.800537  ,  -9.332038  ,  -2.999878  ,  25.75684  
  -0.9554  ,  15.86914  ,  1.804644  ,  0.6378174  ,  21.63696  
  12.57461  ,  25.42114  ,  11.13668  ,  4.055786  ,  10.04028  
  15.39256  ,  26.27563  ,  15.40221  ,  4.528809  ,  -3.723145  
  8.289783  ,  17.15088  ,  13.2984  ,  2.102661  ,  -13.61084  
  3.918105  ,  -0.2746582  ,  4.111115  ,  -0.7965088  ,  -13.3667  
  -4.043561  ,  -12.11548  ,  -4.603291  ,  -2.581787  ,  -3.112793  
  -15.05479  ,  -17.1814  ,  -10.84717  ,  -3.939819  ,  11.44409  
  -22.18651  ,  -11.38306  ,  -11.77362  ,  -4.440308  ,  22.97974  
  -21.72329  ,  5.157471  ,  -5.877157  ,  -3.686523  ,  25.29907  
  -8.424891  ,  17.76123  ,  2.258218  ,  -1.806641  ,  17.42554  
  12.18859  ,  26.27563  ,  10.15233  ,  1.202393  ,  4.638672  
  24.8983  ,  26.12305  ,  14.63982  ,  3.598022  ,  -8.148193  
  25.62209  ,12146,  11.96663  ,  3.948975  ,  -15.04517  
  17.51567  ,  -3.417969  ,  3.213618  ,  2.587891  ,  -10.19287  
  2.364374  ,  -14.34326  ,  -5.240224  ,  0.3875732  ,  2.258301  
  -9.679457  ,  -14.77051  ,  -9.457495  ,  -1.107788  ,  15.77759  
  -14.91003  ,  -3.601074  ,  -7.865161  ,  -1.596069  ,  23.22388  
  -13.14399  ,  10.52856  ,  -0.994002  ,  -1.208496  ,  19.86694  
  1.080857  ,  20.47729  ,  5.307777  ,  0.189209  ,  10.0708  
  16.04879  ,  25.20752  ,  10.86647  ,  2.313232  ,  -2.166748  
  21.19251  ,  19.9585  ,  13.09573  ,  3.662109  ,  -11.65771  
  18.45177  ,  3.967285  ,  7.65285  ,  3.201294  ,  -12.02393  
  2.769695  ,  -9.277344  ,  -1.930101E-02  ,  1.080322  ,  -3.143311  
  -16.94629  ,  -17.27295  ,  -8.116075  ,  -2.18811  ,  10.19287  
  -27.16617  ,  -13.3667  ,  -11.96663  ,  -4.473877  ,  21.33179  
  -23.99116  ,  3.234863  ,  -7.401937  ,  -4.156494  ,  24.10889  
  -7.07382  ,  16.35742  ,  0.4825252  ,  -1.864624  ,  17.02881  
